rank,sweep_stage,title,year,venue,authors,doi,url,source,citation_count,query_hits,concepts,focus_tags,relevance_score,hostile_score,abstract_snippet,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,hostile,Learning and Personalizing Socially Assistive Robot Behaviors to Aid with Activities of Daily Living,2018,ACM Transactions on Human-Robot Interaction,Christina Moro; Goldie Nejat; Alex Mihailidis,10.1145/3277903,https://doi.org/10.1145/3277903,openalex,79,hri_correction; kinesthetic_teaching; lfd; physical_correction,Architecture; Artificial intelligence; Assistive technology; Cognition; Computer science; Human-computer interaction; Reinforcement learning; Robot,physical correction; kinesthetic teaching; shared autonomy; embodied hri,18.948,23.794,"Socially assistive robots can autonomously provide activity assistance to vulnerable populations, including those living with cognitive impairments. To provide effective assistance, these robots should be capable of displaying appropriate behaviors and personalizing them to a user's cognitive abilities. Our research focuses on the development of a novel robot learning architecture that uniquely combines learning from demonstration ( LfD ) and reinforcement learning ( RL ) algorithms to effectively teach socially assistive robots personalized behaviors. Caregivers can demonstrate a series of as",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy; the robot can infer intent while sharing control authority,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
12,hostile,Learning Human Objectives from Sequences of Physical Corrections,2021,,Mengxi Li; Alper Canberk; Dylan P. Losey; Dorsa Sadigh,10.1109/icra48506.2021.9560829,https://doi.org/10.1109/icra48506.2021.9560829,openalex,23,coactive_learning; correction_learning; hri_correction; physical_correction; shared_autonomy,Artificial intelligence; Computer science,physical correction; preference learning; reward inference; shared autonomy; embodied hri,18.912,24.954,"When personal, assistive, and interactive robots make mistakes, humans naturally and intuitively correct those mistakes through physical interaction. In simple situations, one correction is sufficient to convey what the human wants. But when humans are working with multiple robots or the robot is performing an intricate task often the human must make several corrections to fix the robot&#x2019;s behavior. Prior research assumes each of these physical corrections are independent events, and learns from them one-at-a-time. However, this misses out on crucial information: each of these interactio",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,"Infers an objective or reward model from observed human input, demonstrations, or feedback.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; future behavior changes smoothly with the learned cost or trajectory parameters; the robot can infer intent while sharing control authority,trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
13,hostile,Active Preference-Based Learning of Reward Functions,2017,,Dorsa Sadigh; Anca D. Dragan; S. Shankar Sastry; Sanjit A. Seshia,10.15607/rss.2017.xiii.053,https://doi.org/10.15607/rss.2017.xiii.053,openalex,259,coactive_learning; correction_learning,Artificial intelligence; Computer science; Machine learning; Mathematics; Preference; Preference learning; Statistics,physical correction; kinesthetic teaching; preference learning; reward inference,18.713,26.333,"Our goal is to efficiently learn reward functions encoding a human's preferences for how a dynamical system should act. There are two challenges with this. First, in many problems it is difficult for people to provide demonstrations of the desired system trajectory (like a high-DOF robot arm motion or an aggressive driving maneuver), or to even assign how much numerical reward an action or trajectory should get. We build on work in label ranking and propose to learn from preferences (or comparisons) instead: the person provides the system a relative preference between two trajectories. Second,",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
14,hostile,Robot Learning from Demonstration in Robotic Assembly: A Survey,2018,Robotics,Zuyuan Zhu; Huosheng Hu,10.3390/robotics7020017,https://doi.org/10.3390/robotics7020017,openalex,251,correction_learning; hri_correction; human_feedback; kinesthetic_teaching; lfd; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Field (mathematics); Focus (optics); Human-computer interaction; Imitation; Robot; Robot learning,physical correction; kinesthetic teaching; reward inference; embodied hri,18.500,24.099,"Learning from demonstration (LfD) has been used to help robots to implement manipulation tasks autonomously, in particular, to learn manipulation behaviors from observing the motion executed by human demonstrators. This paper reviews recent research and development in the field of LfD. The main focus is placed on how to demonstrate the example behaviors to the robot in assembly operations, and how to extract the manipulation features for robot learning and generating imitative behaviors. Diverse metrics are analyzed to evaluate the performance of robot imitation learning. Specifically, the app",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,feature map,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
15,hostile,Reinforcement learning of motor skills using Policy Search and human corrective advice,2019,The International Journal of Robotics Research,Carlos Celemin; Guilherme Maeda; Javier Ruz-del-Solar; Jan Peters; Jens Kober,10.1177/0278364919871998,https://doi.org/10.1177/0278364919871998,openalex,23,lfd,Reinforcement learning; Computer science; Robot learning; Process (computing); Artificial intelligence; Motor skill; Active learning (machine learning); Motor learning,physical correction; kinesthetic teaching; reward inference; safety/control,18.412,22.454,"Robot learning problems are limited by physical constraints, which make learning successful policies for complex motor skills on real systems unfeasible. Some reinforcement learning methods, like Policy Search, offer stable convergence toward locally optimal solutions, whereas interactive machine learning or learning-from-demonstration methods allow fast transfer of human knowledge to the agents. However, most methods require expert demonstrations. In this work, we propose the use of human corrective advice in the actions domain for learning motor trajectories. Additionally, we combine this hu",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy,reward family; policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
16,hostile,Learning Reward Functions by Integrating Human Demonstrations and Preferences,2019,,Malayandi Palan; Gleb Shevchuk; Nicholas C. Landolfi; Dorsa Sadigh,10.15607/rss.2019.xv.023,https://doi.org/10.15607/rss.2019.xv.023,openalex,18,coactive_learning,Preference; Computer science; Preference learning; Artificial intelligence; Quality (philosophy); Reinforcement learning; Space (punctuation); Function (biology),kinesthetic teaching; preference learning; reward inference,18.305,28.188,"Our goal is to accurately and efficiently learn reward functions for autonomous robots. Current approaches to this problem include inverse reinforcement learning (IRL), which uses expert demonstrations, and preference-based learning, which iteratively queries the user for her preferences between trajectories. In robotics however, IRL often struggles because it is difficult to get high-quality demonstrations; conversely, preference-based learning is very inefficient since it attempts to learn a continuous, high-dimensional function from binary feedback. We propose a new framework for reward lea",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy,reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
17,hostile,An Incremental Inverse Reinforcement Learning Approach for Motion Planning with Separated Path and Velocity Preferences,2023,arXiv (Cornell University),Armin Avaei; Linda van der Spaa; Luka Peternel; Jens Kober,10.48550/arxiv.2301.10528,https://doi.org/10.48550/arxiv.2301.10528,openalex,1,coactive_learning,Computer science; Flexibility (engineering); Trajectory; Motion planning; Task (project management); Path (computing); Set (abstract data type); Parameterized complexity,kinesthetic teaching; preference learning; reward inference; safety/control,18.250,24.250,"Humans often demonstrate diverse behaviors due to their personal preferences, for instance, related to their individual execution style or personal margin for safety. In this paper, we consider the problem of integrating both path and velocity preferences into trajectory planning for robotic manipulators. We first learn reward functions that represent the user path and velocity preferences from kinesthetic demonstration. We then optimize the trajectory in two steps: first the path and then the velocity, to produce trajectories that adhere to both task requirements and user preferences. We desi",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters,feature map; trajectory parameterization; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
18,hostile,Concept2Robot: Learning manipulation concepts from instructions and human demonstrations,2021,The International Journal of Robotics Research,Lin Shao; Toki Migimatsu; Qiang Zhang; Karen Yang; Jeannette Bohg,10.1177/02783649211046285,https://doi.org/10.1177/02783649211046285,openalex,80,kinesthetic_teaching,Computer science; Task (project management); Artificial intelligence; Robot; Kinesthetic learning; Reinforcement learning; Teleoperation; Human-computer interaction,kinesthetic teaching; reward inference; shared autonomy,18.053,22.908,"We aim to endow a robot with the ability to learn manipulation concepts that link natural language instructions to motor skills. Our goal is to learn a single multi-task policy that takes as input a natural language instruction and an image of the initial scene and outputs a robot motion trajectory to achieve the specified task. This policy has to generalize over different instructions and environments. Our insight is that we can approach this problem through learning from demonstration by leveraging large-scale video datasets of humans performing manipulation actions. Thereby, we avoid more t",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy; future behavior changes smoothly with the learned cost or trajectory parameters; the robot can infer intent while sharing control authority,trajectory parameterization; reward family; policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
19,hostile,Task Refinement for Autonomous Robots Using Complementary Corrective Human Feedback,2011,International Journal of Advanced Robotic Systems,etin Merili; Manuela Veloso; H. Levent Akn,10.5772/10575,https://doi.org/10.5772/10575,openalex,21,human_feedback; lfd; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Controller (irrigation); Humanoid robot; Robot; Robot control; State (computer science); Task (project management),physical correction; kinesthetic teaching; safety/control,18.022,22.006,"A robot can perform a given task through a policy that maps its sensed state to appropriate actions. We assume that a hand-coded controller can achieve such a mapping only for the basic cases of the task. Refining the controller becomes harder and gets more tedious and error prone as the complexity of the task increases. In this paper, we present a new learning from demonstration approach to improve the robot's performance through the use of corrective human feedback as a complement to an existing hand-coded algorithm. The human teacher observes the robot as it performs the task using the hand",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the teacher can show behavior close enough to the desired policy,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
20,hostile,"Learning from Physical Human Corrections, One Feature at a Time",2018,,Andrea Bajcsy; Dylan P. Losey; Marcia K. O'Malley; Anca D. Dragan,10.1145/3171221.3171267,https://doi.org/10.1145/3171221.3171267,openalex,74,coactive_learning; correction_learning; hri_correction; human_feedback; kinesthetic_teaching; lfd; physical_correction,Artificial intelligence; Computer science; Feature (linguistics); Focus (optics); Human-robot interaction; Robot; Robot learning; Task (project management),physical correction; kinesthetic teaching; preference learning; reward inference; intervention learning; embodied hri,17.969,26.773,"We focus on learning robot objective functions from human guidance: specifically, from physical corrections provided by the person while the robot is acting. Objective functions are typically parametrized in terms of features, which capture aspects of the task that might be important. When the person intervenes to correct the robots behavior, the robot should update its understanding of which features matter, how much, and in what way. Unfortunately, real users do not provide optimal corrections that isolate exactly what the robot was doing wrong. Thus, when receiving a correction, it is diffi",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,"Infers an objective or reward model from observed human input, demonstrations, or feedback.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective,feature map; reward family,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
21,hostile,Efficient Model Learning from Joint-Action Demonstrations for Human-Robot Collaborative Tasks,2015,,Stefanos Nikolaidis; Ramya Ramakrishnan; Keren Gu; Julie Shah,10.1145/2696454.2696455,https://doi.org/10.1145/2696454.2696455,openalex,92,kinesthetic_teaching,Computer science; Robot; Artificial intelligence; Human-robot interaction; Robot learning; Human-computer interaction; Reinforcement learning; Partially observable Markov decision process,kinesthetic teaching; preference learning; reward inference,17.814,24.759,"We present a framework for automatically learning human user models from joint-action demonstrations that enables a robot to compute a robust policy for a collaborative task with a human. First, the demonstrated action sequences are clustered into different human types using an unsupervised learning algorithm. A reward function is then learned for each type through the employment of an inverse reinforcement learning algorithm. The learned model is then incorporated into a mixed-observability Markov decision process (MOMDP) formulation, wherein the human type is a partially observable variable.",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy,reward family; policy class,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
22,hostile,RaC: Robot Learning for Long-Horizon Tasks by Scaling Recovery and Correction,2025,arXiv.org,Zheyuan Hu; Robyn Wu; Naveen Enock; Jasmine Li; Riya Kadakia; Zackory Erickson; Aviral Kumar,10.48550/arXiv.2509.07953,https://www.semanticscholar.org/paper/22c099753403e7b56739aee366bf5b46d553c144,semanticscholar,28,interactive_imitation,,physical correction; kinesthetic teaching; shared autonomy; intervention learning; safety/control,17.797,21.968,"Modern paradigms for robot imitation train expressive policy architectures on large amounts of human demonstration data. Yet performance on contact-rich, deformable-object, and long-horizon tasks plateau far below perfect execution, even with thousands of expert demonstrations. This is due to the inefficiency of existing ``expert''data collection procedures based on human teleoperation. To address this issue, we introduce RaC, a new phase of training on human-in-the-loop rollouts after imitation learning pre-training. In RaC, we fine-tune a robotic policy on human intervention trajectories tha",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the teacher can show behavior close enough to the desired policy; the robot can infer intent while sharing control authority,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior. This is a hostile comparison because it already targets human correction or intervention.
